"Species","Plot","Subplot","Treat.Code","Year","Date","flo.a","flo.b","flo.c","avg.flo","sd.flo","n.ind","avg.seed.inf","n.seed.ind","cov.g","PC.G","PC.F","PC.s13"
"Agoseris heterophylla",30,"No Grass","C",2017,"2017-05-19",0,0,10,2.2,1.09544511501033,5,32.7222222222222,68.7088196225445,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",49,"Grass","W",2017,"2017-05-19",0,0,2,1,0,5,23.2,22.1429256632,120,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",56,"No Grass","C",2017,"2017-05-19",0,0,5,1.4,0.547722557505166,5,26,34.7414868164,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",55,"No Grass","W",2017,"2017-05-19",0,0,4,1,0,5,20.6153846153846,19.6760745283077,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",19,"No Grass","W",2017,"2017-05-19",0,0,12,2,0.707106781186548,5,41.6875,79.576139102125,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",29,"Grass","W",2017,"2017-05-19",0,0,7,1.6,0.547722557505166,5,23.2857142857143,35.5595752029715,85,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",50,"Grass","C",2017,"2017-05-19",0,0,5,1,0,5,21.6666666666667,20.6794564383334,95,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",92,"No Grass","C",2017,"2017-05-19",0,0,14,2,1,5,45.9166666666667,87.6490807501666,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",5,"No Grass","W",2017,"2017-05-19",0,0,5,1.4,0.547722557505166,5,20.375,27.225299764775,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Agoseris heterophylla",23,"No Grass","W",2017,"2017-05-19",0,0,4,1,0,5,28.7272727272727,27.4183562287272,NA,-0.715725194710067,-0.876427664975023,-2.31764141783942
"Calycadenia pauciflora",84,"Grass","C",2017,"2017-08-21",0,0,3,19.4,15.7575378787424,5,3.5,31.06425,50,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",18,"Grass","C",2017,"2017-08-21",0,0,3,3,1.73205080756888,3,3.75,5.146875,95,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",92,"Grass","C",2017,"2017-08-21",0,0,5,1.8,0.836660026534076,5,2,1.647,100,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",19,"Grass","W",2017,"2017-08-21",0,0,3,7,4.35889894354067,3,3.79,12.137475,85,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",92,"No Grass","C",2017,"2017-08-21",0,0,4,3.33333333333333,1.15470053837925,3,2.125,3.240625,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",5,"Grass","W",2017,"2017-08-21",0,0,1,3.8,2.38746727726266,5,2.6875,4.67221875,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",82,"Grass","C",2017,"2017-08-21",0,0,3,11.3333333333333,3.78593889720018,3,5.15384615384615,26.7226923076923,45,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",49,"Grass","W",2017,"2017-08-21",0,0,7,8.6,3.84707681233427,5,3,11.8035,120,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",19,"No Grass","W",2017,"2017-08-21",0,0,8,12.2,5.54075807087803,5,4.29166666666667,23.9539375,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",50,"Grass","C",2017,"2017-08-21",0,0,7,5.6,5.31977443130815,5,5.125,13.13025,95,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",84,"No Grass","C",2017,"2017-08-21",0,0,3,14.25,20.7103033938826,4,2.42857142857143,15.8327678571429,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",37,"Grass","W",2017,"2017-06-26",4,1,0,2.6,1.67332005306815,5,3.63636363636364,4.32545454545455,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",59,"No Grass","W",2017,"2017-08-21",0,0,3,3.66666666666667,2.51661147842358,3,4.875,8.1778125,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",59,"Grass","W",2017,"2017-08-21",0,0,2,2,1.4142135623731,2,0.333333333333333,0.305,100,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",15,"Grass","W",2017,"2017-08-21",0,1,12,9.2,8.89943818451479,5,1.8,7.5762,30,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",56,"Grass","C",2017,"2017-08-21",0,0,4,1.5,0.707106781186548,2,5.33333333333333,3.66,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",17,"No Grass","W",2017,"2017-08-21",0,0,4,10.6,9.37016542009798,5,3.05555555555556,14.8179166666667,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",50,"No Grass","C",2017,"2017-08-21",0,0,4,5.66666666666667,3.78593889720018,3,4.35714285714286,11.2958928571429,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",17,"Grass","W",2017,"2017-08-21",0,0,1,3,NA,1,3.5,4.80375,90,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",15,"No Grass","W",2017,"2017-08-21",0,0,4,12.25,4.99165971062398,4,3.6,20.17575,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",49,"No Grass","W",2017,"2017-08-21",0,0,2,1.5,0.707106781186548,2,3.93333333333333,2.69925,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",98,"Grass","C",2017,"2017-08-21",0,0,2,2,1.4142135623731,2,2.66666666666667,2.44,80,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",86,"Grass","C",2017,"2017-08-21",0,1,9,26.8,15.6748205731358,5,1.9,23.2959,40,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",23,"Grass","W",2017,"2017-08-21",0,0,2,5.2,2.38746727726266,5,3.4375,8.1778125,70,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",5,"No Grass","W",2017,"2017-08-21",0,0,2,6.6,2.19089023002066,5,3.52380952380952,10.6401428571429,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",86,"No Grass","C",2017,"2017-06-26",2,0,0,8.5,4.94974746830583,2,4.35616438356164,16.9400342465754,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",23,"No Grass","W",2017,"2017-08-21",0,0,3,5.8,4.08656334834051,5,3,7.9605,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Calycadenia pauciflora",96,"No Grass","C",2017,"2017-08-21",0,0,2,2,NA,1,4,3.66,NA,0.771092143133398,1.54518049907422,1.73249998728004
"Clarkia purpurea",30,"No Grass","C",2016,"2016-05-20",1,3,12,2.2,0.836660026534076,5,25.4705882352941,54.1674509990706,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",29,"No Grass","W",2016,"2016-05-20",0,0,20,2,1,5,26.6111111111111,51.4481481658889,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",17,"No Grass","W",2016,"2016-06-08",0,0,18,1.4,0.547722557505166,5,22.8461538461538,30.9184615491231,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",82,"No Grass","C",2016,"2016-05-20",4,1,9,2,1,5,21.5833333333333,41.7277777921667,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",59,"No Grass","W",2016,"2016-05-20",10,2,6,2.6,0.547722557505166,5,31.4666666666667,79.0862222494933,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",81,"Grass","D",2016,"2016-05-20",5,0,13,1,0,5,7.71428571428571,7.45714285971428,80,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",59,"Grass","W",2016,"2016-05-20",0,0,18,1,0,5,9.7,9.3766666699,40,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",98,"Grass","C",2016,"2016-05-20",0,0,3,1,0,3,3,2.900000001,75,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",81,"No Grass","D",2016,"2016-05-20",0,0,16,1.4,0.547722557505166,5,16.5625,22.4145833410625,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",91,"Grass","D",2016,"2016-05-20",3,2,10,1,0,5,6.77777777777778,6.55185185411111,50,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",18,"No Grass","C",2016,"2016-05-20",3,3,17,1.8,0.836660026534076,5,20.4,35.49600001224,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",89,"Grass","D",2016,"2016-05-20",2,0,9,1,0,5,13.3125,12.8687500044375,10,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",56,"Grass","C",2016,"2016-06-08",0,0,17,1,0,5,5,4.833333335,70,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",23,"Grass","W",2016,"2016-06-08",0,0,7,1,0,5,18.5,17.8833333395,30,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",19,"Grass","W",2016,"2016-05-20",0,0,21,3.8,1.48323969741913,5,32.6923076923077,120.089743631154,30,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",92,"Grass","C",2016,"2016-06-08",0,1,20,1.4,0.547722557505166,5,26.6666666666667,36.0888889013333,25,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",93,"No Grass","D",2016,"2016-05-20",0,0,3,1,0,3,9,8.700000003,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",99,"Grass","D",2016,"2016-05-20",3,0,4,1,0,5,4.5,4.3500000015,90,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",15,"No Grass","W",2016,"2016-06-08",0,0,20,1.8,0.836660026534076,5,17.6842105263158,30.7705263264,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",29,"Grass","W",2016,"2016-05-20",0,0,16,1,0,5,11.5454545454545,11.1606060644545,50,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",84,"No Grass","C",2016,"2016-06-08",0,0,13,3.2,1.92353840616713,5,28.304347826087,87.554782638887,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",19,"No Grass","W",2016,"2016-06-08",0,0,23,3.4,1.51657508881031,5,33.4,109.77466670452,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",83,"Grass","D",2016,"2016-05-20",0,0,9,1,0,5,4.07142857142857,3.93571428707143,80,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",91,"No Grass","D",2016,"2016-06-08",0,0,17,1,0,5,29.8,28.8066666766,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",83,"No Grass","D",2016,"2016-05-08",16,1,0,3.4,1.34164078649987,5,33,108.4600000374,NA,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",50,"Grass","C",2016,"2016-05-20",1,0,11,1,0,5,4.30769230769231,4.16410256553846,70,0.563663236086071,0.605290877224273,1.08410568900997
"Clarkia purpurea",17,"Grass","W",2016,"2016-05-20",3,1,6,1,0,5,13.4166666666667,12.9694444489167,80,0.563663236086071,0.605290877224273,1.08410568900997
